time x y z T0
353400.0000000000 -1132915.1896941119 6092527.1946865646 1504633.3051440925 6.0728812804
353430.0000000000 -1132915.7888372859 6092527.9366396833 1504633.7532644158 9.0620626184
353460.0000000000 -1132915.2942092766 6092526.7308828933 1504633.5582325831 10.1485989478
353490.0000000000 -1132915.1021082751 6092529.3090207567 1504633.4875912287 6.9098576360
353520.0000000000 -1132915.2752167615 6092528.9299002206 1504633.0957126322 9.5873760438
353550.0000000000 -1132914.8523482343 6092527.6424549483 1504632.9443095953 1.4191626003
353580.0000000000 -1132914.9179102408 6092527.1202349532 1504632.3142587619 28.5498412564
353610.0000000000 -1132915.6502021174 6092530.0570734739 1504632.9892668144 7.8842908560
353640.0000000000 -1132916.5630170687 6092529.5118280035 1504633.6268791729 14.1799454276
353670.0000000000 -1132916.0810066496 6092528.0709895892 1504633.8476963309 31.3464104009
353700.0000000000 -1132916.6119953599 6092527.8381712725 1504633.7925861992 9.3501830210
353730.0000000000 -1132917.0162542860 6092528.3719835756 1504633.9971624115 50.4564336739
353760.0000000000 -1132915.7148326046 6092527.7259946167 1504632.6884741278 20.7761439872
353790.0000000000 -1132915.5425254875 6092528.1837583743 1504632.6956391402 14.4786905375
353820.0000000000 -1132915.2382297700 6092529.0889291102 1504633.2091669238 17.8123860824
353850.0000000000 -1132915.7114992980 6092529.2059708023 1504632.5784765619 12.1250017350
353880.0000000000 -1132915.6708286551 6092528.5610656347 1504633.2078455242 9.3305089441
353910.0000000000 -1132915.3485387976 6092526.8847717540 1504633.1629754610 5.1606437949
353940.0000000000 -1132915.7668815269 6092528.7328182301 1504633.7689766455 16.4141701808
353970.0000000000 -1132914.8607358758 6092528.4328721389 1504632.3744470279 2.1524596377
354000.0000000000 -1132915.4623126478 6092528.8600367699 1504632.9641331569 6.5591520136
354030.0000000000 -1132915.5912233968 6092530.2208083365 1504633.1175045597 4.4904563708
354060.0000000000 -1132916.0516214657 6092528.2864215607 1504633.4704169582 1.7662358944
354090.0000000000 -1132914.6658224894 6092528.3677659463 1504633.0142080586 12.7133493065
354120.0000000000 -1132915.4255194820 6092529.9165549073 1504633.8650635583 4.2538703825
354150.0000000000 -1132914.8655115212 6092529.0615912750 1504633.4527296992 4.1802702116
354180.0000000000 -1132915.8608215803 6092530.4678886253 1504634.3603806098 28.6663109361
354210.0000000000 -1132915.6724089999 6092529.6497527203 1504634.1798703370 7.3085659115
354240.0000000000 -1132916.4013759564 6092530.3948751353 1504633.8276274279 17.9629801170
354270.0000000000 -1132915.7859109750 6092528.3814761695 1504633.5533367847 1.9281716756
354300.0000000000 -1132916.0350582954 6092530.4023264088 1504634.2750528567 5.4790903102
354330.0000000000 -1132915.8672345669 6092527.5756289279 1504633.5269291396 4.1596980860
354360.0000000000 -1132915.7881518390 6092527.8632050650 1504633.2051182047 10.3636140927
354390.0000000000 -1132915.6087362645 6092528.3806943679 1504633.7624152750 13.5500323606
354420.0000000000 -1132915.1399097710 6092527.9493194260 1504632.8594972983 0.9673606782
354450.0000000000 -1132915.6101112736 6092531.5070622284 1504633.2076471504 5.5477020746
354480.0000000000 -1132916.1421983081 6092528.6812884212 1504633.2558308933 29.8491313311
354510.0000000000 -1132916.5929547078 6092531.5145664066 1504634.0749154736 10.8131494711
354540.0000000000 -1132916.2275708965 6092530.1454657121 1504634.0023425987 13.1889043883
354570.0000000000 -1132916.4214716700 6092530.1760660969 1504634.3548220934 3.2827270587
354600.0000000000 -1132916.4186119665 6092529.4362400966 1504633.4189921720 12.8493839111
